sentence,matches
وبالفعل، فان المسؤولين الاقتصاديين في الحكومة يطلبون منذ اسابيع عدة اتخاذ اجراءات عاجلة وملموسة تمكن الايرانيين، وخصوصا اولئك الذين يملكون رساميل ضخمة في الخارج، من العودة الى البلاد للمشاركة في اعادة اعمارها.,"['هذه سياسة الحكومة.', 'الا ان الحكومة الارتيرية تنفي ان يكون افراد المنتخب في عداد المفقودين، رغم ان الاتحاد الارتيري لكرة القدم اكد لرئيس اتحاد (كيكافا) نيكولاس موسونيه بأن اللاعبين الاريتريين لم يعودوا الى بلدهم.', 'ونفت الحكومة الارتيرية بادئ الامر ان يكون افراد المنتخب في عداد المفقودين، رغم ان الاتحاد الارتيري لكرة القدم اكد لرئيس اتحاد (كيكافا) نيكولاس موسونيه بأن اللاعبين الاريتريين لم يعودوا الى بلدهم.', 'وكانت الوقفة الاولى لهذه السفن تتم بعد عدة اسابيع في السنغال، وتشير القصة الى ان الكثيرين من اللبنانيين كانوا يعتقدون لدى وصولهم الى السنغال انهم وصلوا الى البرازيل فيغادرون السفينة ويبقون في البلاد.', 'ومن المتوقع ان يكون اضراب اليوم الاربعاء الاوسع منذ اعلنت الحكومة الاشتراكية الجديدة عن اجراء تخفيضات واسعة في الانفاق الحكومي  بغية خفض المديونية الحكومية والعجز في  الميزانية.']"
وأضاف أن باكستان ومصر سوف تتعاونان لزيادة القدرة الإنتاجية لمصانع الصلب في باكستان وتحقيق تكامل بين البلدين من خلال الاستفادة المشتركة من خامتي البليت والحديد الخام، إضافة إلى تطوير العمل في مجال حجر الجرانيت والرخام.,"['وأضاف أن باكستان أكدت وفاته.', 'بداية الخلاف               وأضاف المراسل قائلا: ""الخلاف بين البلدين، والذي بدأ عام 2002، هو واحد من الخلافات الاقتصادية القليلة التي سمحت منظمة التجارية العالمية أن تتخذ فيها إجراءات انتقامية ومعاملة بالمثل من قبل البلدان المعنية.""', 'وأضاف السيناتور السابق ""ناقشنا التزاماتنا المشتركة حيال السلام الشامل""، مشيرا إلى أن هذا الهدف لا يتحقق إلا ""بحل الدولتين، حيث يعيش الفلسطينيون والاسرائيليون جنبا إلى جنب في أمن وسلام"".', 'وهو يرى أن السبب الرئيسي في هذا هو تزايد الهجمات التي تشنها الطائرات الأمريكية بدون طيار خلال العام الماضي في المناطق القبلية داخل حدود باكستان القريبة من أفغانستان.', 'وجاء في تقرير مفوضية التقييم والتقدير أن مسألة الموارد النفطية وتخطيط صناعتها بعد الاستفتاء في حاجة إلى مزيد من الشفافية، إلى جانب المشاكل الخطيرة التي ما زالت تعاني مسألة رسم الحدود بين الشمال والجنوب.']"
اول جلسة عمل للبرلمان الانتقالي في الصومال,"['لماذا الانتظار سبعة عشر عاما لنشر المقال.', 'في المساء، لم ننس محاولة الاتصال بالمتمردين.', 'في المساء، لم ننس محاولة الاتصال بالمتمردين.', 'وتجري الاعتقالات في اليوم التالي.', 'ويهيمن الحزبان على مختلف مناحي الحياة في  الاقليم.']"
وطغى الحدث أيضاً على مواقع الصحف الفرنسية الرئيسية، وخرجت صحيفة »ليبراسيون« بـ»طبعة خاصة« تحت عنوان »الولايات المتحدة تغرق في الفوضى بعد ثلاثة اعتداءات على الأقل«، ونشرت صورة لمركز التجارة العالمي وهو يحترق.,"['باراك الرب في الولايات المتحدة.""', 'فهذه المخاوف لاتقتصر على الولايات المتحدة فقط.', 'ويزور ري جون الولايات المتحدة بناء على دعوة من منظمات خاصة.', 'وأثار قرار اطلاق سراحه موجة غضب خاصة في الولايات المتحدة.', 'ولن تستمر زيارة اوباما سوى بضع ساعات لكن مستشاري الرئيس الامريكي يشددون على ان مشاركته تظهر التبدل الكبير في موقف الولايات المتحدة ثاني دولة مسؤولبة عن التلوث في العالم.']"
"ملامح رقمية اصلية لجثتين جافتين قديمتين / اضافة اولى/ وكان متحف ليويشون قد كلف جامعة جيلين برسم الملامح الاصلية للجثتين, اذ سبق ان نجحت هذه الجامعة قبل بضعة اشهر فى رسم الملامح الاصلية المجسمة فى الكمبيوتر لامرأة حسب جمجمتها التى استخرجت من قبر بضواحى مدينة بكين يرجع تاريخه الى عهد اسرة هان / 206 قبل الميلاد الى 220 بعد الميلاد /.","['وكان قد وجداها.', 'واضاف مدير الوكالة الدولية: ""من المهم بالنسبة لنا ارسال مفتشينا للقيام بزيارة شاملة لموقع تخصيب اليورانيوم المعني والتاكد من انه يبنى لدواع سلمية"" في اشارة الى المصنع الذي كشفت ايران عن بنائه قرب قم  في 25 سبتمبر ايلول، مما اثار قلقا في بعض العواصم الغربية.', 'ونفى الدكتور  الربيعة في حوار لبي بي سي العربية ان يكون ارتفاع عدد الحالات المؤكدة من 20 حالة  يوم السبت الماضي الى 67 اليوم الاثنين مؤشر يعكس تسارع خطير لانتشار المرض مؤكدا  ان  رصد &#34;67 حالة من بين مليون ونصف حاج  وصلوا حتى الان هو رقم متدن جدا اذا ما قورن بانتشار المرض في  العالم&#34;.', 'في الشوط الأول لم تنتظر جماهير برشلونة طويلا ليترجم فريقها سيطرته الميدانية إلى الهدف الأول بعد أن استلم ميسي الكرة من بعد منتصف الملعب بقليل بعد تمريرة من العاجي يايا توري ثم توغل ورواغ كريستيان تراش قبل ان يطلق بيسراه كرة صاروخية من حدود المنطقة سكنت الزاوية اليمنى العليا لمرمى الحارس المخضرم يانز ليمان في الدقيقة 13.', 'في الشوط الأول لم تنتظر جماهير برشلونة طويلا ليترجم فريقها سيطرته الميدانية إلى الهدف الأول بعد أن استلم ميسي الكرة من بعد منتصف الملعب بقليل بعد تمريرة من العاجي يايا توري ثم توغل ورواغ كريستيان تراش قبل ان يطلق بيسراه كرة صاروخية من حدود المنطقة سكنت الزاوية اليمنى العليا لمرمى الحارس المخضرم يانز ليمان في الدقيقة 13.']"
ومن المتوقع ان يغادر بيروت فى اعقاب انتهاء هذا المؤتمر الصحفى المشترك.,"['هذا مهم.', 'ومن المقرر ان يمثل بلير امام اللجنة في العام المقبل.', 'ومن المتوقع ان تتم زيادة ساعات البث اليومية الى 9.', 'جاء ذلك فى المؤتمر الصحفي الذى عقده كوشنير فى دمشق مع نظيره السوري وليد المعلم.', 'يستمرّ سريان هذا الحق حتى انتهاء المسابقة.']"
عمان 15-8 (أ ف ب)- تنطلق غدا الاربعاء دورة الاردن الدولية الثانية في كرة السلة التي تستمر حتى 26 آب/اغسطس الحالي، فيلتقي شباب مصر ويومبلغاز البلغاري في مباراة الافتتاح، تليها مباراة الجزيرة الاردني والاهلي المصري.,"['ب.', 'ب.', 'ب.""', 'أ.""', 'ولم تكن الولايات المتحدة وحدها التي زادت فيها البطالة، فقد بلغت النسبة في دول منطقة اليورو 9،6 في المئة في شهر أغسطس/آب الماضي، مما رفع عدد العاطلين عن العمل الى 15،2 مليونا في تلك الدول.']"
9.6% نسبة البطالة بالسعودية بالسعودية,"['وادت البيانات التي صدرت مؤخرا عن ارتفاع البطالة في الولايات المتحدة الى نسبة 9.7%، وهي الاعلى منذ 27 عاما، الى تزايد الشكوك بامكانية خروج الاقتصاد الامريكي من الكساد خلال العام الحالي، الامر الذي ادى لتراجع الدولار امام العملات الرئيسية الاخرى، ومنها اليورو واليوان الصيني والجنيه الاسترليني.', 'ووصلت نسبة البطالة الان في الولايات المتحدة الى اعلى مستوى لها في 26 عاما عند 9.8 في المئة.', 'لكن مع بلوغ معدل البطالة في أفريقيا الجنوبية ربع السكان القادرين على العمل، وانخفاض نسبة الأجور التي قد لا تتجاوز 10 دولارات لليوم، حتى المقاعد رخيصة الثمن قد لا تكون في المتناول.', 'ولا تزال نسبة البطالة عالية في عدة مناطق، وهناك بعض عمال المصانع يعملون ساعات اقل ويتقاضون اجرا اقل مما كانوا يتقاضونه قبل الازمة المالية.', 'وتشكل الأخبار التي تفيد ارتفاع البطالة إلى أعلى نسبة لها منذ الحرب العالمية الثانية ضربة قاصمة بالنسبة إلى رئيس الوزراء الياباني، تارو آسو.']"
ولكن يلاحظ أنه في الفترة الماضية ـ الثلاثة شهور الماضية ـ يوجد استقرار في السوق المصري.,"['وكان يتوقع أن يشهد الاقتصاد نموا في الشهور الثلاثة الماضية، ولكن سوق العمل شهد توجها معاكسا.', 'ويوجد سبعة من أعلى عشرة أبراج في العالم في آسيا، وبنيت جميعها في الأعوام الثلاثة عشر الماضية.', 'ويوجد سبعة من أعلى عشرة أبراج في العالم في آسيا، وبنيت جميعها في الأعوام الثلاثة عشر الماضية.', 'وأكد شهود في المكان أن اسلحة كانت داخل الحافلة.', 'وكانت الغرفة الدنيا من البرلمان قد اقرته في شهر مايو/ ايار الماضي.']"
السيد الدكتور مهدي دخل الله - وزيرا للاعلام للاعلام,"['ولا بد ان اعترف بانها  مريحة   للاعصاب.', 'هذا ما يقوله الدكتور إعجاز جيلاني مدير المعهد.', 'لم يجر أي اتصال بيني وبين السيد موسوي.', 'مهدي الحافظ وصفية السهيل ووائل عبد اللطيف.', 'وفي احدى مراحل القتال، اقترب المسلحون من القصر الرئاسي.']"
أصدرت محكمة التحكيم التابعة لغرفة التجارة الدولية والتي انعقدت في جنيف قراراً برد الدعوى التي أقامتها شركتا »والتر باو« و»دريداغ« الالمانيتان على الدولة اللبنانية ممثلة بمجلس الانماء والإعمار. ويقضي الحكم بحصر »التعويض المطالب به بمبلغ مليون ومئتي ألف دولار الذي عو تعويض تعاقدي محدد في العقد وعدم الحكم بأي زيادة على هذا التعويض لعدم توافر عناصر سوء النية«. وكانت الشركتان الألمانيتان تطالبان بمبلغ 75 مليون دولار أميركي مدليتين بسوء نية الدولة اللبنانية ومجلس الانماء والإعمار.,"['و', 'وكانت الشركة اشترته بمبلغ 282 مليون دولار في عام 2006.', 'هذا مهم.', 'وبلغت قيمة العقد –الذي تبلغ مدته 15 عاما- 737 مليون دولار.', 'هذا أولا.']"
وعين اللواء كنعان الذي كان رئيسا لجهاز الامن السياسي وزيرا للداخلية خلفا للواء علي حمود.,"['والتقى خصوصا رئيس لجنة الامن القومي والسياسة الخارجية علاء الدين بوروجردي ونوابا من الكتل المحافظة والاقليات.', 'هكذا كان.', 'هكذا كان.', 'ويشار الى ان الاسترالي الثاني الذي كان جوازه على صلة بعملية الاغتيال يدعى ادم كورمان ويعيش في اسرائيل ايضا.', 'ويقيم العسولي حاليا في مدينة رام الله القريبةـ لكنه يعيب عليها الاكتظاظ وكثرة الضجيج.']"
إن بوادر حرب شرق أوسطية بدأت فعلاً مع الإصرار الأمريكي على إصدار مشروع القرار في الكونجرس ومع استمرار تصعيد موقف أمريكي لا يأخذ بعين الاعتبار معطيات تشكل نوعاً من الاستفزاز للعرب ككل.,"['لا.', 'وكان عدد من اعضاء البرلمان التركي توجهوا  الى واشنطن قد عرض مشروع القرار على اللجنة للاجتماع باعضاء الكونجرس الامريكي لثنيهم عن اصدار هذا القرار.', 'وكان عدد من اعضاء البرلمان التركي توجهوا  الى واشنطن قد عرض مشروع القرار على اللجنة للاجتماع باعضاء الكونجرس الامريكي لثنيهم عن اصدار هذا القرار.', 'ويأتي صدور القرار الجديد بعد موافقة اللجنة الوزارية العربية لمتابعة مبادرة السلام في جامعة الدول العربية على اقتراح أمريكي بعقد محادثات سلام غير مباشرة بين إسرائيل والفلسطينيين لمدة أربعة أشهر.', 'تحركات أمريكية               من جهة أخرى ذكر مسؤول أمريكي لوكالة رويترز أن واشنطن بدأت في استطلاع مواقف الحكومات العربية تجاه إمكانية القيام ببوادر منها تخفيف العقوبات على إسرائيل إذا تم تجميد الاستيطان.']"
ستوكهولم -- يشهد متحف الفن المعاصر حاليا بالعاصمة السويدية ستوكهولم معرضا تحت عنوان رايدر والرومانسية يلقى الضوء على مجمل أعمال الرسام الامريكى ألبرت بنكهام رايدر التى تتسم بالطابع الرومانسى .,"['وعلى الرغم من تراجع أعمال العنف خلال السنوات الماضية، إلا أن العراق لا يزال يشهد هجمات يومية تستهدف قوات الشرطة والمدنيين في انحاء متفرقة من البلاد.', 'وستشهد العاصمة الروسية خلال العام الحالي اقامة معرض لاعمال الفنان التشكيلي العالمي بابلو بيكاسو فيما يستضيف متحف اللوفر في باريس حول مسار الفن الروسي على مدى 900 عام.', 'وكان سكارليت رئيسا للجنة المخابرات العامة البريطانية، عندما أصدرت حكومة بلير ملفا حول امتلاك العراق لأسلحة الدمار الشامل، وهي الحجة الرئيسية التي تم على أساسها غزو العراق.', 'وكان قد تم اعتقال عرمان وأموم ووزير الدولة بوزارة الداخلية ونائب رئيس مجلس ولاية الخرطوم على الرغم من تمتعهم بالحصانة، حسبما اعلنت الحركة.', 'يأتي ذلك بينما يرد رئيس الوزراء العراقي نوري المالكي الخميس على اسئلة النواب العراقيين حول الكيفية التي تمكن بها المفجرون من الافلات من قوات الأمن العراقية.']"
لا تتسرع في لوم الآخرين نتيجة حالتك المزاجية السيئة.,"['لا.', 'عزلت عن الآخرين.', 'فلا رغبة لي في تكرار ما عانيت منه في الايام السبعة الماضية.""', 'فلا رغبة لي في تكرار ما عانيت منه في الايام السبعة الماضية.""', 'كما وقعت تفجيرات في الرمادي وقربها في الاونة الاخيرة.']"
عدم استقرار أسعار مواد البناء تصيب سوق العقارات بالشلل بالشلل,"['كما وعد بأن تتخذ الحكومة الاجراءات الكفيلة بمعالجة مشكلة ارتفاع اسعار العقارات.', 'وقد شددت اثر ذلك الاجراءات الامنية في المطارات في الولايات المتحدة وعالميا.', 'وقد شددت اثر ذلك الاجراءات الامنية في المطارات في الولايات المتحدة وعالميا.', 'وكان بهذا الجناح ""غرفة استقبال""، مطبخ لإعداد الأطباق الحلال.', 'وقال كذلك إن إعادة البناء لم تبدأ من الصفر بل ""مما دون الصفر"".']"
4- تأكيدهم استمرار الوعد الالهي بالعودة الى فلسطين رغم تحقق هذا الوعد عام 536 ق.م. وبعض المسيحيين يؤمنون ان هذه الوعود تحققت ثانية في عودة اليهود الى ارض فلسطين منذ عام .1880,"['ارض اليهود.', 'هذا مهم.', 'عودة الشاه.', 'من جهة اخرى، دعا بان كي مون الى الإفراج عن الجندي الاسرائيلي جلعاد شاليط الذي  تحتجزه حماس منذ 2006 في قطاع غزة أملا بمبادلته مع معتقلين فلسطينيين في السجون  الاسرائيلية"".', 'يشار الى ان اوباما، وباقراره ارسال 30 الف جندي اضافي الى افغانستان، يكون قد رفع عدد الجنود الامريكيين في هذا البلد الى اكثر من 100 الف.']"
وأرجعت الدراسة تراجع نسب المساهمات العربية والأجنبية إلى انخفاض جاذبية هذه المناطق بالنسبة للاستثمارات الأجنبية عموماً والعربية بصفة خاصة نتيجة تزايد أعداد المناطق الحرة على مستوى العالم وتزايد حدة المنافسة بينها لاجتذاب الاستثمارات العالمية.,"['من جهتها تبحث موسكو عن المزيد من الاستثمارات الأجنبية.', 'وأضاف البيض مخاطبا المسيرة، التي تتزامن مع ذكرى الانتفاضة ضد الاستعمار البريطاني عام 1963، ""لقد جاء الاستعمار البريطاني من وراء البحار، بينما الاستعمار الحالي هو نتيجة انقلاب النظام في صنعاء"" في إشارة إلى الحرب الأهلية بين الشمال والجنوب عام 1994.', 'وأشار الجمل إلى أن وزارة  التربية والتعليم ملتزمة بقرار حظر ارتداء النقاب داخل المدارس خاصة أن المحكمة  الدستورية العليا أيدت هذا القرار، منبها إلى ضرورة التزام الطالبات بقانون الزى  المدرسى الذى لا ينص على ارتداء النقاب.', 'وأضاف أن السلطات الإيرانية تستخدم نفس الخدمات الفضائية للبث بحرية إلى جميع أنحاء العالم باللغتين العربية والانجليزية، وفي نفس الوقت تحرم شعبها من البرامج التي ترد عبر نفس الأقمار الصناعية من جميع أنحاء العالم.', 'وأبو ظبي هي الإمارة الأكبر والأغنى ضمن الإمارات السبع المكونة لدولة الإمارات العربية المتحدة وتعتمد في دخلها على احتياطها الضخم من النفط، فيما تعتبر دبي الإمارة الثانية وتعتمد في دخلها على الخدمات المالية والسياحية والعقارات.']"
1983 - القوات الفرنسية تتدخل في التشاد بطلب من الرئيس حسين حبري لمواجهة غوكوني عويدي المدعوم من ليبيا.,"['وتمكنت القوات الإسرائيلية بعد جهد جهيد من اكتشاف مخبئه عام 1993 وقتلته وكان في الثانية والعشرين من العمر.', 'وستكون إيطاليا من أكبر الدول المستفيدة في المستقبل من الصفقات التجارية مع ليبيا التي تشهد تطورا اقتصاديا سريعا.', 'وكانت خسائر الفرنسيين هي الأكبر منذ مقتل 58 من القوات الخاصة الفرنسية في بيروت عام 1983.', 'اما الرئيس كرزاي فقد قال انه يتوقع ان تتمكن القوات الافغانية من بسط سيطرتها على البلاد في غضون خمس سنوات.', 'يذكر أن ارتداء الحجاب الإسلامي لا يزال محظورا في المدارس الحكومية الفرنسية،  حيث تعتبره السلطات رمزا دينيا.']"
وحظي قائد الانقلاب وحلفاؤه بعفو بعد ان سلموا اسلحتهم للجيش.,"['ولم توقع بعض حركات التمرد  في الاقليم على الاتفاق بعد.', 'واشارت الى ان ""اسباب الحادث لم تعرف بعد ولكن تحقيقا قد فتح"".', 'ولن يُنظر في المشاركات التي ترسل بعد ذلك الموعد.', 'ولن يُنظر في المشاركات التي ترسل بعد ذلك الموعد.', 'ولكن سوريا قالت ان الحدود لايمكن ترسيمها إلا بعد انسحاب اسرائيل.']"
وعلى رغم أن الطلب لم يبت، إلا أن الخيار لم يستبعد علماً أن الحكومة لا ترغب في اللجوء إليه.,"['لا.', 'وورد في بيان المنظمة ""أن الحكومة الليبية تعود إلى عهد السيطرة على الإعلام"".', 'هذه سياسة الحكومة.', 'ويعتقد أن الفيروس انتقل الى طيور الديك الرومي من عمال يعملون في المزرعة.', 'وقالت الحكومة البريطانية إن ما فعلته اسرائيل يتناقض مع رغبتها المعلنة في تحقيق السلام.']"
تونس ـ الصباح تخرج عند غروب شمس غد الخميس 14 اكتوبر الجاري الموافق لـ29 شعبان لجان رصد الهلال في كامل ولايات الجمهورية لرصد هلال شهر رمضان لسنة 1425 هجري.,"['وقالت الشرطة المحلية إن انتحاريا قام بتفجير نفسه على الأرجح عند غروب الشمس في نهاية أحد ايام شهر رمضان.', 'وقالت الشرطة المحلية إن انتحاريا قام بتفجير نفسه على الأرجح عند غروب الشمس في نهاية أحد ايام شهر رمضان.', 'ما هي الضغوط الاخرى المفروضة على ايران؟               في اكتوبر 2007 وصفت الولايات المتحدة الحرس الثوري بأنه منظمة ""داعمة للارهاب"" وبانتاج اسلحة دمار شامل.', 'واوضح ان قرار مجلس الامن 1441 الذي صدر في شهر فبراير من عام 2002 والذي اعطى العراق مهلة نهائية للاستجابة لمطالب مجلس الامن كان يبرر اللجوء الى القوة ضد العراق.', '* شهدت القاعدة أكبر عدد من حالات الانتحار مقارنة مع غيرها من القواعد الأمريكية، وذلك منذ الغزو الأمريكي للعراق عام 2003 بلغ مجملها 75 حالة في يوليو/ تموز من العام الجاري.']"
"واضاف الصحاف في رسالته التي وجهها ايضا الى الرئيس الحالي لمجلس الامن الدولي ان ""الدعم الذي يقدمه النظامان السعودي والكويتي لهذه الطائرات يعد عدوانا مستمرا على العراق يستهدف حياة العراقيين الابرياء وتدمير ممتلكاتهم"".","['ومن المتوقع ان يسهم تطوير هذه الحقول في رفع الانتاج العراقي من النفط الى ثلاثة اضعاف الانتاج الحالي، مما يضع العراق في مصاف اكبر الدول المنتجة للنفط في العالم، مثل السعودية وروسيا.', 'واوضح الهاشمي الذي يشارك في الانتخابات ضمن ""الكتلة العراقية"" الليبرالية التي يتزعمها رئيس الوزراء الاسبق اياد علاوي: ""اليوم وصل العراق الى منعطف، اما ان يكون هذا العراق او يضيع.""', 'الا ان البيت الابيض لم يصدر بعد اي موقف مما ورد على لسان السفير الذي افادت تقارير صحفية امريكية ان ما قاله جاء في رسالة وجهها الى الرئيس الامريكي سرب محتواها الى وسائل الاعلام.', 'فالاستاذ زو يعتقد ان النظام الصيني الحالي يتمتع بكثير من المزايا على الانظمة السياسية السائدة في الغرب، إذ يقول: ""إنه من الايسر بكثير في نظامنا التوصل الى وفاقات وتنفيذ السياسات"" مشيرا الى انعدام الضوابط على ممارسة الحزب الشيوعي للسلطة.', 'من جهته، قال موران الذي تتولى بلاده الرئاسة الحالية لمجلس الامن الدولي ان ""الموقفين الامريكي والفرنسي متطابقان تماما في ما يتعلق بايران""، مضيفا بأن ""ليس هناك من خيار سوى العمل على اجراءات اخرى"".']"
"واضافت الامم المتحدة في بيان ان العراق ""صدر من النفط ما قيمته 2،9 مليار دولار منذ بدء المرحلة الثامنة من هذا البرنامج في التاسع من حزيران/يونيو"" الماضي.","['سنبقى في العراق بعد الثلاثين من يونيو/حزيران بلا  شك.""', 'وقالت الشركة الخميس ان ايراداتها في الاشهر الثلاثة المنتهية في الثلاثين من يونيو/حزيران بلغت 5.52 مليار دولار مقارنة مع 5.37 مليار في الفترة نفسها من العام الماضي.', 'فقد قال ياو جيان الناطق باسم الوزارة للصحفيين في العاصمة بكين إن الصين جذبت ما قيمته 7,023 مليار دولار من الاستثمارات الاجنبية المباشرة في الشهر الماضي.', 'ففي التاسع من يونيو/حزيران المقبل، سنكتسح هولندا.""', 'وكانت الايرادات العامة في موازنة العام الماضي نحو 9 مليارات دولار، مما يعني ان حكومة دبي تراجعت ايراداتها بنحو 12% بعد الازمة المالية التي لحقت بها.']"
"وقال كيم ""ان القوات الاميركية تلعب دورا في غاية الاهمية ليس فقط لجهة تفادي وقوع حرب بل ايضا على صعيد استقرار المنطقة في شمال شرق اسيا"".","['وقال إي.', 'واعلنت وزارة الخارجية الامريكية الجمعة ان ميتشيل غادر المنطقة بعد ان فشل في تحقيق اختراق على صعيد عملية السلام بين اسرائيل والفلسطينيين.', 'وقال الناطق الرئاسي الامريكي: ""لا يجوز لاي طرف ان يقوم بافعال من شأنها ان تؤثر، استباقيا، او يظهر انها تؤثر استباقيا، على المفاوضات"".', 'كلينتون                وقالت وزيرة الخارجية الامريكية، هيلاري كلينتون، ان عدم الاستقرار الامني في اليمن بات يشكل خطرا على المنطقة والعالم باسره.', 'كلينتون               وقالت وزيرة الخارجية الامريكية، هيلاري كلينتون، ان عدم الاستقرار الامني في اليمن بات يشكل خطرا على المنطقة والعالم باسره.']"
"واضاف مدرب النصر الجديد ""ان خبرتي في مجال التدريب تمتد الى عشرين عاما وابتعادي في الموسم الماضي كان لالتقاط الانفاس والبقاء مع عائلتي برغم انني تلقيت عروضا عدة من اندية فرنسية وايطالية واسبانية لكني فضلت الراحة"".","['وظهر هذا الاستياء الروسي الى العلن الاسبوع الماضي مع تصريح وزير الخارجية سيرجي لافروف قائلا ان ""ايران تهدر فرصة التعاون بشكل طبيعي""، وذلك على الرغم من كون روسيا والصين في المبدأ ضد فرض عقوبات مشددة واضافية على ايران.', 'وظهر هذا الاستياء الروسي الى العلن الاسبوع الماضي مع تصريح وزير الخارجية سيرجي لافروف قائلا ان ""ايران تهدر فرصة التعاون بشكل طبيعي""، وذلك على الرغم من كون روسيا والصين في المبدأ ضد فرض عقوبات مشددة واضافية على ايران.', 'وفي اتصال هاتفي لبي بي سي العربية مع خالد رزق مراسل صحيفة الأخبار المصرية في الاسماعيلية قال ""ان الوفد ذهب فعلا الى الاسماعيلية وكان مكونا من 8 افراد وقد غادر الخميس الماضي"".', 'هكذا كان.', 'واضاف فيون ان هناك خطوات كبرى تعلقت بالجانب العسكري خطتها بغداد وباريس من ضمنها قرب وصول ملحق عسكري فرنسي الى العراق ليكون من ضمن طاقم السفارة الفرنسية في بغداد وكذلك استعداد فرنسا لاستقبال الضباط العراقيين لتدريبهم في معاهدها العسكرية.']"
وقد عين رضا خاتمي مديرا لمكتب الدراسات والابحاث في المجلس.,"['في المساء، لم ننس محاولة الاتصال بالمتمردين.', 'في المساء، لم ننس محاولة الاتصال بالمتمردين.', 'وقال متحدث باسم الجيش ان الاسرائيلي توفي في وقت لاحق.', 'وقال ان هناك ""رهانا كبيرا"" لكل من المجتمع الدولي والناتو في افغانستان.', 'وقد شددت اثر ذلك الاجراءات الامنية في المطارات في الولايات المتحدة وعالميا.']"
وقال ان الرخص التعدينية في المنطقة الشرقية تمثل 16 في المائة من مجموع الرخص في السعودية، ويبلغ عدد العاملين في هذه الانشطة 7.5 ألف عامل، وبلغت الكميات المستغلة من الخامات خلال عام 2003 حوالي 44 مليون طن.,"['وقال إي.', '2005: 185 مليون طن من الأرز.', '2005: 34 مليون طن من الكرنب.', 'لكن الشعور بالقلق الشديد ازاء هذه المشكلة في هذه البلدان انخفض من 50 في المائة في الولايات المتحدة في عام 2007 الى 45 في المائة هذا العام، ومن 59 في المائة الى 57 في المائة في الصين.', 'يشار الى ان آخر الارقام الرسمية المعلنة الجمعة من منظمة الصحة العالمية توضح  ان عدد الحالات المصابة وصلت الى نحو 60 الف اصابة وان عدد الوفيات 263 وفاة في 113  بلد في انحاء العالم.']"
