sentence,matches
وقال بيان عسكري أمريكي إن تحقيقا يجرى لمعرفة ملابسات تحطم المروحيتين.,"['وقال إي.', 'ويقول المعترضون إن من غير الكافي أن يقوم الجيش بفتح تحقيقات في ممارسات أعضائه.', 'وقال جرايشن إن ثمة تغييرا سيطرأ على السياسات الأمريكية تجاه السودان.', 'وقالت راو في حديث مع قناة إن بي سي الأمريكية: ""إنني أريد طفلاي"".', 'وقال مسؤول أمريكي إن الاقتراحات الصينية مفيدة لكن بيكن تحتاج إلى إعطاء أرقام محددة.']"
كتب عبد الله إسكندر مدير تحرير الحياة يقول: تلقّت قوات الاحتلال في العراق ضربات مؤلمة.,"['فصراعنا المسلح هو فقط ضد قوات الاحتلال في العراق"".', 'والقضية كما يقول هي تحرير العراق من المحتلين الامريكيين بالمقاومة المسلحة.', 'وقال: ""وفي لحظة الاحتفال تلك نتذكر اسر الرهائن البريطانيين الذين قتلوا في العراق وغيره"".', 'الاجهزة الامنية الفلسطينية انتشرت في ارجاء مدينة بيت لحم و الشوارع الرئيسية كانت تغلق عند تحرك سيارات قادة الحركة .', 'وقد عمل كروس مباشرة بعد الحرب مع السلطة الائتلافية المؤقتة التي ادارت شؤون العراق مباشرة بعد الاحتلال.']"
ـ له الحق في أن يرتدي ما يعجبه سواء كانت بدلة أوروبية وربطة عنق أو الزي العربي.,"['يذكر أن السعودية كانت وراء المبادرة العربية للسلام في الشرق الأوسط والتي طرحت عام 2002.', 'ويُذكر أن هايتي هي أفقر دولة في الجزء الغربي من الكرة الأرضية.', 'ويُذكر أن هايتي هي أفقر دولة في الجزء الغربي من الكرة الأرضية.', 'ولعلها من الصدف أن  الحي الذي أوجد فيه حاليا ورث اسم قرية كانت تدعى بني  فري.', 'ومن المقرر أن يختار مؤتمر فتح قيادة جديدة للحركة سواء في المجلس الثوري أو اللجنة المركزية .']"
وأكد أن القانون الجديد ألغى التصنيفات الفرعية للبنوك وحصرها في تصنيفين فقط هما البنوك العامة والخاصة بدلاً من وجود تصنيفات متعددة بدون هدف ولا فرق بينها إلا في نظام الملكية حيث كانت هناك بنوك عامة وخاصة واستثمارية ومشتركة.,"['لا أحد فوق القانون"".', 'ولا يزال.', 'من القاعدة إلى القمة               لقد كانت تلك عبارة عن مظاهرات انطلقت من القاعدة إلى القمة وقد اتَّسمت بالتنافر وعدم التناسق والاتساق فيما بينها، وكانت تفتقر إلى وجود تلك العربة أو الرافعة السياسية التي تستند إليها وتمدُّها بأسباب الاستمرار والبقاء.', 'واشار امين عام حزب الله الى ان هناك ""ايجابيات كبيرة في القمة السورية السعودية التي عقدت قبل مدة في دمشق، والتي كانت أول بركات هذه القمة السورية السعودية قطفت في لبنان من خلال التواصل والتلاقي بين مختلف الاطراف السياسيين"".', 'وكشفت الصحيفة عن معلومات تفيد بأن وزراء خارجية الاتحاد الاوروبي سيصدرون بيانا بعد اجتماعهم في بروكسل اليوم يعبرون فيه عن قلقهم الشديد من تصرفات طهران في مجال الحريات العامة وتحديدا المعلومات والاعلام من خلال حجب مواقع الكترونية والتشويش على محطات التلفزة"".']"
"ولفت إلى أن البنك الدولي منح السلطة فترة سماح مدتها 10 سنوات، ومدة سداد 30 سنة بفائدة قيمتها واعترف فياض بأن ذلك مخالف للقانون الأساسي (الدستور المؤقت)، مبدياً استعداده لـ ""إصلاح هذه المخالفة"" علماً أنها حصلت قبل توليه منصبه وزيراً للمال.","['وتعد هذه المشاهد للجندي البالغ 23 سنة من العمر الأولى منذ أسره قبل ثلاث سنوات، علما بأن آسريه سلموا خلال هذه المدة شريطا صوتيا له بالإضافة إلى ثلاث رسائل آخرها يرجع تاريخها إلى العام الماضي.', 'فوفقا للقانون الفلسطيني الأساسي لا بد من موافقة ثلثي أعضاء البرلمان الفلسطيني على استقالته حتى تكون نافذة، إلا أن البرلمان لم ينعقد منذ عام 2006، ولم يتضح بعد ما إذا كان سيفعل ذلك بعد تقديم الاستقالة.', 'وقال لاريجاني &#34;مازلت أعتقد أن هناك فرصة دبلوماسية وأنه من مصلحتهم (القوى الدولية) الاستفادة منها، حتى تواصل إيران عملها في إطار الوكالة والإشراف الدولي&#34;، في إشارة إلى الوكالة الدولية للطاقة الذرية التي تلتزم طهران حيالها بمعاهدات.', 'وقال لاريجاني &#34;مازلت أعتقد أن هناك فرصة دبلوماسية وأنه من مصلحتهم (القوى الدولية) الاستفادة منها، حتى تواصل إيران عملها في إطار الوكالة والإشراف الدولي&#34;، في إشارة إلى الوكالة الدولية للطاقة الذرية التي تلتزم طهران حيالها بمعاهدات.', 'ويقول الجنرال ماكريستال إن من الضروري أن تكون القوات الأفغانية قادرة على أخذ مراكزها في الصفوف الأولى، إلا أنها لن تكون قادرة على ذلك قبل مضي ثلاث سنوات، بينما ستحتاج قوات الشرطة إلى فترة أطول كي تصبح قادرة على الاضطلاع بمهامها.']"
"وهو ما ساهم بدوره في زيادة ""قصقصة"" الجنيه وتراجع قوته الشرائية لترتفع الأسعار بشكل لا مثيل له.","['لا.', 'وشدد مشعل في كلمته على أن الذي عطل صفقة تبادل الأسرى هو ما سماه ""التلاعب الاسرائيلي"".', 'بينما قتل سبعة اشخاص ما بين مهاجم ورجل شرطة في هجوم مبنى  الشرطة الجنائية في المدينة.', 'زيادة الخطر                  وهناك ساهم اثنان منهما (الشهري والعوفي) في تأسيس تنظيم ""القاعدة في جزيرة العرب""، وشاركا في شريط الفيديو لإعلان التأسيس.', 'وأضاف الحريري في مؤتمر صحفي عقده بالسفارة اللبنانية في دمشق أنه لا بد من حل الأمور مع سوريا بشكل هادئ وصريح.']"
"وقال مجاهدو خلق ان المبنى تعرض الى ""اضرار كبيرة"" وان عددا من موظفي الوزارة قتلوا او اصيبوا بجروح"".","['وقال إي.', 'وقال الموقع ان العديد من انصار المعارضة اصيبوا بجروح وجرت عمليات اعتقال في صفوفهم.', 'وتقول الشرطة ومصادر طبية ان عددا اخر من الاشخاص اصيبوا بجراح خطيرة، وان القتيل العراقي يعمل مع برنامج الغذاء العالمي.', 'وقال المقدم عبد خلف الدليمي ان ""ستة اشخاص قتلوا واصيب 16 اخرون بجروح بانفجار سيارة مفخخة يقودها انتحاري"".', 'ويشير ركاب اخرون ان عددا من الركاب وطاقم الطائرة اشتركوا في نقله الى المقصورة وتفتيشه.']"
وأشار إلى أن البنك المركزي لديه الكثير في مواجهة أية مضاربات محتملة.,"['وأشار مصدر أمني إلى أنه بين الجرحى مسؤول مكافحة المتفجرات في المحافظة, العقيد طالب الشمري.', 'وستؤدي أزمة الإئتمان الأخيرة التي واجهتها دبي مؤخرا إلى تفاقم المشكة.', 'ولا يتوقع المحللون أن يرفع البنك المركزي الياباني أسعار الفائدة قريبا.', 'ولا يتوقع المحللون أن يرفع البنك المركزي الياباني أسعار الفائدة قريبا.', 'ويشير المحللوت إلى أن ماتعهدت به تلك البلدان لا يتجاوز 18 في المئة.']"
وتمت دعوة تحالف منظمات غير حكومية لجنوب افريقيا باعتبارها سكرتارية المؤتمر لزيارة الأراضي الفلسطينية بدعوة من المنظمات الفلسطينية لحقوق الإنسان وكذلك لرصد الانتهاكات التي تقوم بها السلطات الإسرائيلية تجاه الشعب الفلسطيني وسياسة الفصل العنصري للسلطات الإسرائيلية.,"['المناهج الإسرائيلية.', 'ولم يرد بعد رد للسلطات الإسرائيلية على بيان منظمات الغوث هذه.', 'وعانى الفلسطينيون عموما من التعذيب في السجون الاسرائيلية  لعقود ولكن هذه الظاهرة انتقلت إلى سجونهم وحتى طرق التعذيب تتكرر وحسب هذه  المنظمات فإن تجربة التعذيب اذا ما قورنت مع الانتهاكات الأخرى فهي  الاكثر تأثيرا على الإنسان.', 'وفي رام الله، اتهم الرئيس الفلسطيني، الذي فاز يوم السبت بدعم حركته حركة فتح لقراره استئناف التفاوض مع اسرائيل، رئيس الحكومة الاسرائيلية بالتعنت فيما يخص الانسحاب من الاراضي الفلسطينية المحتلة وهو موقف قال الرئيس عباس إنه يهدد بالقضاء على العملية السلمية برمتها.', 'أمر لافت               اللافت أيضا ما حدث في الليلة التي سبقت قرار التأجيل عندما صرح سفير اسرائيل في جنيف لكل وسائل الاعلام الاسرائيلية بأن السفير الفلسطيني ابلغه نية السلطة الفلسطينية التأجيل، وهذا ما تناولته وسائل الاعلام.']"
درسدن (المانيا) 15-7 (اف ب)- ذكرت الشرطة ان مواجهات وقعت عصر اليوم السبت في درسدن (شرق) بين حوالى 300 ناشط من النازيين الجدد كانوا يتظاهرون في وسط المدينة وبين حوالى 200 متظاهر من اليسار المتطرف.,"['ب.', 'ب.', 'ب.""', 'اليوم في بغداد.', 'اليوم في بغداد.']"
العثور على عملات اجنبية فى احد احياء بغداد,"['وقد مر يوم كامل على الحادث دون العثور على جثث الضحايا حتى الان.', '                           \u202dBBC Arabic\u202c - \u202eالعالم\u202c - \u202eاضمحلال الامل في العثور على احياء في انفجار سيبريا\u202c                          content=""مسؤولون روس يحذرون من ان الامل ضعيف في العثور على احياء بين العمال الـ 64 الذين حصروا داخل محطة لتوليد الطاقة الكهربائية بسيبريا بعد انفجارها.""', '/>                            الرئيسية          الشرق الأوسط   \t\t  العالم   \t\t  شارك برأيك   \t\t  اقتصاد وأعمال   \t\t  منوعات  \t \t\t  علوم وتكنولوجيا   \t\t  رياضة   \t\t  راديو وتلفزيون                   آخر تحديث:  \xa0الثلاثاء, 18 أغسطس/ آب, 2009, 12:31 GMT            اضمحلال الامل في العثور على احياء في انفجار سيبريا                 حذر مسؤولون روس من ان الامل ضعيف في العثور على احياء بين العمال الـ 64 الذين حصروا داخل محطة لتوليد الطاقة الكهربائية بسيبريا بعد انفجارها.', 'لكن فاسيلي زوبايكين القائم باعمال مدير الشركة المالكة للمحطة (شركة روسهايدرو) قلل من احتمال العثور على احياء.', 'وقال زوبايكين: ""إنه لمن غير المرجح ان نتمكن من العثور على احياء في المنطقة التي غمرتها المياه.""']"
"""الصحة العالمية"": 10 ملايين مريض نفسي في مصر","['                           \u202dBBC Arabic\u202c - \u202eعلوم وتكنولوجيا\u202c - \u202eانخفاض وفيات الايدز بـ10 في المئة خلال خمس سنوات\u202c                          content=""التعاطي المتزايد للعقاقير المضادة للفيروسات يؤدي إلى تقليل وفيات الايدز بنسبة 10 في المئة خلال السنوات الخمس الماضية، حسب منظمة الصحة العالمية.""', '/>                           الرئيسية          الشرق الأوسط   \t\t  العالم   \t\t  شارك برأيك   \t\t  اقتصاد وأعمال   \t\t  منوعات  \t \t\t  علوم وتكنولوجيا   \t\t  رياضة   \t\t  راديو وتلفزيون                   آخر تحديث:  \xa0الثلاثاء, 24 نوفمبر/ تشرين الثاني, 2009, 11:23 GMT            انخفاض وفيات الايدز بـ10 في المئة خلال خمس سنوات                 كشفت منظمة الصحة العالمية عن أن التعاطي المتزايد للعقاقير المضادة للفيروسات أدى إلى تقليل وفيات الايدز بنسبة 10 في المئة خلال السنوات الخمس الماضية.', 'وفي العام الماضي أعلنت السعودية نجاحها في تحقيق خطط تمكنها من رفع انتاجها النفطي البالغ ثمانية ملايين برميل يوميا ليتجاوز 12 مليون برميل يوميا عند الحاجة، كما أكدت  انها ستواصل الاستثمار في قطاعها النفطي لتحقيق الاستقرار في أسواق النفط العالمية.', 'وكانت الخدمة العالمية لبي بي سي بثت تقريرا لمحرر الشؤون الافريقية مارتن بلوت خلص فيه الى ان ملايين الجنيهات الاسترلينية التي جمعت من تبرعات في بريطانيا استخدمت لشراء اسلحة لمتمردي اقليم تيجراي شمال اثيوبيا.', 'في عام 1973 اعتبرت منظمة الصحة العالمية  القات نبات مخدراً متوسط القوة ، وتوالت دراسات جادة أكدت أن الادمان عليه تؤدي الى إحداث اضطرابات جسدية ونفسية وعقلية خطيرة، تسبب الهزال والخمول وضعف البدن وامراضاً في القلب والدم والاطراف والاعصاب والدماغ .']"
"** ""بحب السينما"" واحد من هذه الأفلام التي حققت إقبالا جماهيريا متميزا في المهرجان السابق علاوة على تتويجه بجائزتي أفضل سيناريو وأفضل تصوير.","['إنه أفضل ما في هذه الغرفة.', 'وهذا امر عادي قد يحدث في اي مكان في العالم لكن الفريد في بغداد ان  بعض هذه اللافتات في حجم لافتات الافلام فوق دور السينما!!', 'وفرض برشلونة سيطرته الميدانية منذ بداية المباراة في محاولة على ما يبدو لحسم النتيجة مبكرا وتفادي سيناريو المفاجآت الذي أطاح بغريمه ريال مدريد من المسابقة.', 'وفرض برشلونة سيطرته الميدانية منذ بداية المباراة في محاولة على ما يبدو لحسم النتيجة مبكرا وتفادي سيناريو المفاجآت الذي أطاح بغريمه ريال مدريد من المسابقة.', 'وأوضح الفيصل أن هذه السياسة في توسيع المستوطنات تلقي ظلالا من الشك على مدى جدية إسرائيل في الالتزام بعملية السلام.']"
كن متخصصاً وستتقدم بطريقة سريعة.,"['وقد أطلق سراحه مؤخرا لأسباب صحية.', 'وقال إنها كانت بريئة... كانت شهيدة.', 'وقد تكرر هذا العرض من باعة آخرين.', 'وقد أخلي سبيل ستة منهم.', 'يوم قضيناه برفقة لاجئين.']"
وأضاف أن قانون التمويل العقاري يندرج في سلسلة التشريعات التي تعمل على حل مشكلة الإسكان وتنشيط حركة تداول الوحدات السكنية الجديدة والقديمة في سوق العقارات مما يؤدي إلى توازن الأسعار وتشجيع المستثمرين على بناء وحدات اقتصادية بمساحات صغيرة لصالح محدودي الدخل.,"['الحكومة الجديدة تعمل على برنامج تأميم ضخم.', '/>                           الرئيسية          الشرق الأوسط   \t\t  العالم   \t\t  شارك برأيك   \t\t  اقتصاد وأعمال   \t\t  منوعات  \t \t\t  علوم وتكنولوجيا   \t\t  رياضة   \t\t  راديو وتلفزيون                   آخر تحديث:  \xa0الجمعة, 22 يناير/ كانون الثاني, 2010, 03:05 GMT            أوباما: بالغنا في توقعاتنا حول حل مشكلة الشرق الأوسط                 قال الرئيس الأمريكي باراك اوباما إنه لم يدرك مدى صعوبة التوصل إلى حل لنزاع الشرق الأوسط، وبالغ في توقعاته في السنة الأولى من حكمه.', 'وكانت الحكومة السودانية قد وقعت بالأحرف الأولى على اتفاق لوقف اطلاق النار مع واحدة من الفصائل الرئيسية المتمردة في اقليم دارفور، وهي حركة العدل والمساواة، والذي يعتبر اطار عمل لاجراء المزيد من المحادثات.', 'كما دعا جامعة  الدول العربية أن تعمل على وقف &#34;التدهور والعبث بمقدرات الشعبين&#34;، وناشد الموقعون مؤسسات  المجتمع المدني والقيادات الشعبية والمثقفين والكتاب في البلدين أن تعمل على تدارك  الاخطاء التي ارتكبها البعض من هنا وهناك وبحث اليات عمل مشتركة تعيد العلاقات بين  الشعبين إلى سابق عهدها.', 'وأضاف أن الوفد سيحاول اقناع القيادة المصرية تأجيل التوقيع على اتفاق المصالحة الفلسطينية، في ضوء مواقف السلطة الفلسطينية الاخيرة وتأجيلها التصويت على تقرير جولدستون امام مجلس حقوق الانسان التابع للامم المتحدة.']"
"باريس-- أصدرت موخرا مطربة الشباب الفرنسية ميلين فارمر أول كتاب لها بعنوان "" ليزا الذئب والراوى"" الذى طرحت منه فى المكتبات الفرنسية 50 الف نسخة .","['كما فاز هال سيتي بهدفين لهدف على مانشستر سيتي الذي لعب معه لاول مرة وعلى مدى نصف ساعة في الشوط الثاني الفرنسي باتريك فييرا المنتقل من انتر ميلان الايطالي.', 'وفرنسا مصممة على منع النقاب الذي ترتديه اقل من الفي امراة في البلاد وفق الأرقام الرسمية، حسبما ذكرت وكالة الأنباء الفرنسية.', 'وقال رئيس الشرطة في مدينة كراتشي، وسام أحمد، لوكالة الأنباء الفرنسية ""الوفيات حدثت بسبب الاختناق والتدافع في واحد من أكثر المناطق اكتظاظا بالناس في خوري جاردن"".', 'وقد اعتقل الشاب البالغ من العمر 25 عاما الثلاثاء بعد أن جرى تعقبه لعدة شهور باشتراك الشرطة الفرنسية والأف بي آي.', 'وقد اعتقل الشاب البالغ من العمر 25 عاما الثلاثاء بعد أن جرى تعقبه لعدة شهور باشتراك الشرطة الفرنسية والأف بي آي.']"
جولة جديدة لمفاوضات التجارة التفضيلية بين مصر والهند والهند,"['والمنفعة متبادلة لان مصادر المخابرات اليمنية جيدة جدا"".', 'والمنفعة متبادلة لان مصادر المخابرات اليمنية جيدة جدا"".', 'واضاف: &#34;ان التغيرات ستشمل مساحات جديدة من التعاون&#34;.', 'وتجري مفاوضات بين الجانبين برعاية من الأمم المتحدة.', 'من جانبها قالت ميركل ""لدينا فرصة فريدة لاعطاء دفعة جديدة للمفاوضات"".']"
واعلن المسؤول الامني ان مجموعات من »حماس« هاجمت أيضاً مقر الشرطة في مخيم النصيرات حيث خرج مئات من المتظاهرين بعد الاعلان عبر مكبرات صوت في المساجد ان الشرطة الفلسطينية أطلقت النار على المتظاهرين في غزة. وذكر ان هؤلاء »رشقوا مركزاً للشرطة بالحجارة وتدخلت قوات منها وتنظيم حركة فتح والقوى الوطنية«.,"['لم يكن هؤلاء المتظاهرين العزل.', 'واعتقلت قوات الأمن عددا من المتظاهرين.', 'وقال: ""فتح فلسطينيون النار على دورية للجيش عبر الحاجز الامني.', 'وقال مراسلنا إن قوات الامن الفلسطينية أطلقت النار في الهواء في محاولة لتفريق المتظاهرين الذين يرشقون الحجارة على الجنود المصريين.ونشرت حكومة حماس المقالة في قطاع غزة المزيد من التعزيزات للسيطرة على الموقف.', '""هذا هو الوقت المناسب""                وكانت وحدات من الجيش العراقي قد اجرت استعراضات في شوارع بغداد يوم امس الاثنين  وآلياتها مزينة بالورود والاعلام العراقية بينما اذيعت الاغاني الوطنية عبر مكبرات  صوت جرى تثبيتها في نقاط السيطرة التابعة لقوات الامن.']"
"تتصدر مقاطعة قوانغدونغ غيرها بالصين من حيث عدد تكنولوجيا براءات الاختراع والعلامات التجارية المسجلة, علما ان هذه المقاطعة مركز اقتصاد هامى وهى ايضا بوابة الصين الجنوبية.","['ويقول التقرير ايضا إن اقليم هلماند الجنوبي شهد اكبر انحفاض في انتاج هذه المادة، ولو ان الانتاج الحالي ما زال اكبر مما كان عليه منذ ثلاث سنوات.', 'وقال ياو جيان في بيان نشر على موقع الوزارة على الانترنت "" يوم السبت ان ""الصين  تدين بقوة هذا العمل الخطير من اعمال الحماية التجارية من قبل الولايات  المتحدة.""', 'وقال ياو جيان في بيان نشر على موقع الوزارة على الانترنت "" يوم السبت ان ""الصين تدين بقوة هذا العمل الخطير من اعمال الحماية التجارية من قبل الولايات المتحدة.""', 'وورد في البيان ايضا ان ""اوباما اشار الى اهمية العمل من اجل انجاح مؤتمر كوبنهاجن في ديسمبر/ كانون الثاني والى اهمية دور الصين والولايات المتحدة في هذا  الاطار"".', 'وسيتوجه الرئيس اوباما من اليابان الى سنغافورة حيث سيحضر جانبا من القمة الاقتصادية لمنطقة آسيا والمحيط الهادئ المنعقدة هناك، ومن ثم يتوجه الى الصين ثم كوريا الجنوبية.']"
فؤاد كنعان، رائد القصة القصيرة في لبنان رحل مساء أمس عن 81 عاماً.,"['وفي ذلك  الوقت سجلت أول عملية زرع كبد في لبنان عام 1997.', 'كان الرجال السبعة في خيمة كنعان من عمال التبغ في ازمير.', 'كنا نمر في حالة رعب من الوضع المالي في عام 2008 .', 'وقال متحدث باسم الشركة إنه كان من المقرر أن ترسو السفينة في لبنان.', 'ستون في المئة من سكان ايران تقل اعمارهم عن 30 عاما، ولا يذكرون شيئا عن الثورة  الاسلامية عام 1979.']"
أفاد الراديو النيجيرى المحلى اليوم أن سبعة أشخاص ، من بينهم ثلاثة من أفراد الشرطة ، قتلوا على يد عصابة من اللصوص المسلحين على طريق انكا - جومى السريع بولاية زامفارا شمال غرب نيجيريا .,"['واعلن قائد الشرطة المحلي  ان الدخان يملأ سماء المنطقة  بينما تحاول السلطات المحلية السيطرة على النيران  حتى وقت متأخر من مساء الاحد في المعبر الحدودي الواقع في اقليم بلوشستان جنوب غرب باكستان.', 'وكان الأمير خالد بن سلطان بن عبد العزيز مساعد وزير الدفاع السعودي قد أكد أن ثلاثة جنود سعوديين قتلوا وجرح خمسة عشر آخرون في المواجهات الدائرة مع المسلحين الحوثيين على الحدود مع اليمن.', 'واعتقلت الشرطة في نهاية المسيرة ثمانية أشخاص على الأقل من بينهم الناشطة المناهضة للحرب في العراق سيندي شيهان وذلك بعد أن وضعوا مجسما لتابوت خارج بوابة البيت الأبيض.', 'وأفادت وكالة رويترز للابناء أن خمسة مدنيين أفغان، بينهم اثنان من النساء، قتلوا اليوم الجمعة عندما اصابت قذيفة سيارتهم في شمال غربي اقليم بادغيس حسبما أعلن الناطق الرسمي في الاقليم شرف الدين مجيدي.', 'وأصيب ثلاثة عشر من الزوار المتوجهين لاحياء ذكرى وفاة الامام موسى الكاظم في انفجار عبوة ناسفة على طريق محمد القاسم السريع شرقي بغداد.من جهة أخرى أصيب ثمانية زوار آخرين بانفجار عبوة أخرى في منطقة الدورة جنوبي بغداد.']"
5 ـ إن الوضع العالمي الراهن لن يشكل أي تأثير على نوايا إسرائيل سواء أجاء ذلك من روسيا التي لن تستطيع القيام بأي دور للجم إسرائيل عن شن مثل هذه الحرب أو الاتحاد الأوروبي الذي يكاد الرئيس الفرنسي جاك شيراك وحده يغرد خارج هذا الاتحاد محذراً من خطورة أن تندلع حرب شرق أوسطية جديدة.,"['إن الوضع مدمر"".', 'هذا الامر لن يغير الوضع على الارض"".', 'إلا أن تأثير ذلك كان محدودا.', 'هذا مهم.', 'وأبلغ دبلوماسي أوروبي رفض الإفصاح عن اسمه وكالة الأنباء الفرنسية أن الاتحاد الأوروبي كان قد مارس في أيار/مايو الماضي ضغوطا على العراق لإلغاء تلك الفقرة محذرا من عدم مشاركة الشركات الأوروبية في المعرض ما لم يتم ذلك.']"
2- الدعوة إلى تصفية المرتكزات المؤسسية والقانونية لنظام الفصل العنصري الإسرائيلي.,"['وزار الوزير الإسرائيلي جناح الأردن ومصر والمغرب إلى جانب الجناح الفلسطيني في المعرض.', 'ومنعت القوات الإسرائيلية الدخول إلى المسجد وطالبت المصلين المرابطين داخله بالخروج.', 'ودعا الفيصل إلى إزالة جميع المستوطنات الإسرائيلية وإنهاء الاحتلال الإسرائيلي للأراضي العربية.', 'ويرفض الفلسطينيون الدخول في مفاوضات مع الحكومة الإسرائيلية إذا لم تجمد بناء المستوطنات.', 'وأكد أن ""دولة إسرائيل يجب ان تعيش إلى جانب الدولة الفلسطينية"".']"
وعاد باقري العام الماضي الى بيروزي حيث بدأ مسيرته الكروية، لكن عندما تبين للنادي الايراني انه لن يتمكن من اشراك لاعبه العائد في كأس ابطال اسيا، اعاره الى نادي النصر الاماراتي لكنه لم يصب نجاحا في الاخير لانه لم ينسجم تماما مع لاعبيه.,"['""واضاف انه لم يصب احد بسوء.', '""واضاف انه لم يصب احد بسوء.', 'ونقلت صحيفة ""جلف نيوز"" عن بيان للمدعي العام الاماراتي ان الامريكي ناجي حمدان، اللبناني الأصل والبالغ من العمر43 عاما ""كان يقيم علاقات مباشرة مع انصار السنة عبر اتصالات الكترونية"".', 'وكرر اوباما خلال زيارته الى تركيا في شهر ابريل/نيسان الماضي موقفه وقال انه مازال يعتبر ما تعرض لها الارمن يصل الى مستوى الابادة  لكنه اشار الى  ان تطبيع العلاقات بين ارمينيا وتركيا له الاولوية.', 'وكرر اوباما خلال زيارته الى تركيا في شهر ابريل/نيسان الماضي موقفه وقال انه مازال يعتبر ما تعرض لها الارمن يصل الى مستوى الابادة  لكنه اشار الى  ان تطبيع العلاقات بين ارمينيا وتركيا له الاولوية.']"
واشترط وزير الخارجية لتأييد ماليزيا قرار كهذا ، عدم الربط بين القرار والغزو الذى قادته الولايات المتحدة ضد العراق ، وتحقق الامم المتحدة من تدمير اسلحة الدمار الشامل العراقية ، وسيطرة الشعب العراقى على كافة موارده.,"['باراك الرب في الولايات المتحدة.""', 'ان الولايات المتحدة ستواصل دعم العراق كشريك وكصديق"".', 'ان الولايات المتحدة ستواصل دعم العراق كشريك وكصديق"".', 'الامم المتحدة تفرق بين النزوح واللجوء.', 'فهذه المخاوف لاتقتصر على الولايات المتحدة فقط.']"
